step,timestamp_s,cmd_x,cmd_y,cmd_z,cmd_qw,cmd_qx,cmd_qy,cmd_qz,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos
1,1788745196.568341,-0.000100,0.000000,0.000300,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
2,1788745196.570528,-0.000200,0.000000,0.000600,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
3,1788745196.572670,-0.000300,0.000000,0.000900,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
4,1788745196.574895,-0.000400,0.000000,0.001200,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
5,1788745196.577353,-0.000500,0.000000,0.001500,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
6,1788745196.579933,-0.000600,0.000000,0.001800,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
7,1788745196.582296,-0.000700,0.000000,0.002100,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
8,1788745196.584693,-0.000800,0.000000,0.002400,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
9,1788745196.586943,-0.000900,0.000000,0.002700,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
10,1788745196.589516,-0.001000,0.000000,0.003000,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
11,1788745196.591899,-0.001100,0.000000,0.003300,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
12,1788745196.594209,-0.001200,0.000000,0.003600,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
13,1788745196.596487,-0.001300,0.000000,0.003900,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
14,1788745196.599035,-0.001400,0.000000,0.004200,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
15,1788745196.601344,-0.001500,0.000000,0.004500,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
16,1788745196.603643,-0.001600,0.000000,0.004800,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
17,1788745196.605806,-0.001700,0.000000,0.005100,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
18,1788745196.608132,-0.001800,0.000000,0.005400,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
19,1788745196.610416,-0.001900,0.000000,0.005700,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
20,1788745196.612802,-0.002000,0.000000,0.006000,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
21,1788745196.615099,-0.002100,0.000000,0.006300,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
22,1788745196.617376,-0.002200,0.000000,0.006600,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
23,1788745196.619637,-0.002300,0.000000,0.006900,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
24,1788745196.621871,-0.002400,0.000000,0.007200,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
25,1788745196.624143,-0.002500,0.000000,0.007500,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
26,1788745196.626304,-0.002600,0.000000,0.007800,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
27,1788745196.628726,-0.002700,0.000000,0.008100,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
28,1788745196.631038,-0.002800,0.000000,0.008400,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002861,-0.004005,0.004387,-0.000191
29,1788745196.633469,-0.002900,0.000000,0.008700,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002480,-0.004005,0.004387,-0.000191
30,1788745196.635865,-0.003000,0.000000,0.009000,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002480,-0.004005,0.004387,-0.000191
31,1788745196.638202,-0.003100,0.000000,0.009300,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002480,-0.004005,0.004387,0.000191
32,1788745196.640621,-0.003200,0.000000,0.009600,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002480,-0.004005,0.004387,-0.000191
33,1788745196.643026,-0.003300,0.000000,0.009900,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002480,-0.004005,0.004387,-0.000191
34,1788745196.645237,-0.003400,0.000000,0.010200,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002480,-0.004005,0.004387,-0.000191
35,1788745196.647408,-0.003500,0.000000,0.010500,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002480,-0.004005,0.004387,0.000191
36,1788745196.649562,-0.003600,0.000000,0.010800,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002480,-0.004005,0.004387,0.000191
37,1788745196.651733,-0.003700,0.000000,0.011100,0.000000,0.000000,0.000000,1.000000,-0.003624,0.003242,-0.001717,0.002480,-0.004005,0.004387,0.000191
