step,timestamp_s,cmd_x,cmd_y,cmd_z,cmd_qw,cmd_qx,cmd_qy,cmd_qz,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos
1,1788745196.568509,-0.000100,0.000000,0.000300,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
2,1788745196.570664,-0.000200,0.000000,0.000600,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
3,1788745196.572817,-0.000300,0.000000,0.000900,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
4,1788745196.575157,-0.000400,0.000000,0.001200,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,-0.000191,0.004387
5,1788745196.577482,-0.000500,0.000000,0.001500,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
6,1788745196.579687,-0.000600,0.000000,0.001800,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
7,1788745196.582083,-0.000700,0.000000,0.002100,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,-0.000191,0.004387
8,1788745196.584487,-0.000800,0.000000,0.002400,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
9,1788745196.587052,-0.000900,0.000000,0.002700,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
10,1788745196.589277,-0.001000,0.000000,0.003000,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
11,1788745196.591684,-0.001100,0.000000,0.003300,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
12,1788745196.594105,-0.001200,0.000000,0.003600,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,-0.000191,0.004005
13,1788745196.596388,-0.001300,0.000000,0.003900,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,-0.000191,0.004387
14,1788745196.598825,-0.001400,0.000000,0.004200,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
15,1788745196.601218,-0.001500,0.000000,0.004500,0.000000,0.000000,0.000000,1.000000,-0.000954,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
16,1788745196.603537,-0.001600,0.000000,0.004800,0.000000,0.000000,0.000000,1.000000,-0.000572,0.000954,0.000954,0.005531,0.003242,0.000191,0.004387
